key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,14.455,space,5.1495,0,0,0,0,1,"Please complete all tasks. It will take no more than 5-10 minutes.

Thank you for contributing to science and deciding to offer your time. Your participation is highly valued. 

Press SPACE to start the experiment",1,BroNo,man,27,13-15h,2021-12-02_21h08.39.749,bachelor,2021.2.3,Win32,59.99880002,IwAR2wFWkhAttIX2us655vg4wXxSR46FU7qlyNXrNrDCe1QtEw46K5sxflouw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,BroNo,man,27,13-15h,2021-12-02_21h08.39.749,bachelor,2021.2.3,Win32,59.99880002,IwAR2wFWkhAttIX2us655vg4wXxSR46FU7qlyNXrNrDCe1QtEw46K5sxflouw,space,15.5432,left,1.5096,0,0,0,5,1,cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,BroNo,man,27,13-15h,2021-12-02_21h08.39.749,bachelor,2021.2.3,Win32,59.99880002,IwAR2wFWkhAttIX2us655vg4wXxSR46FU7qlyNXrNrDCe1QtEw46K5sxflouw,,,right,1.3541,0,1,1,22,1,woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,BroNo,man,27,13-15h,2021-12-02_21h08.39.749,bachelor,2021.2.3,Win32,59.99880002,IwAR2wFWkhAttIX2us655vg4wXxSR46FU7qlyNXrNrDCe1QtEw46K5sxflouw,,,right,2.2264,0,2,2,24,1,lip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,BroNo,man,27,13-15h,2021-12-02_21h08.39.749,bachelor,2021.2.3,Win32,59.99880002,IwAR2wFWkhAttIX2us655vg4wXxSR46FU7qlyNXrNrDCe1QtEw46K5sxflouw,,,right,1.4549,0,3,3,20,1,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,BroNo,man,27,13-15h,2021-12-02_21h08.39.749,bachelor,2021.2.3,Win32,59.99880002,IwAR2wFWkhAttIX2us655vg4wXxSR46FU7qlyNXrNrDCe1QtEw46K5sxflouw,,,right,1.1604,0,4,4,4,1,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,BroNo,man,27,13-15h,2021-12-02_21h08.39.749,bachelor,2021.2.3,Win32,59.99880002,IwAR2wFWkhAttIX2us655vg4wXxSR46FU7qlyNXrNrDCe1QtEw46K5sxflouw,,,left,1.0392,0,5,5,25,1,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,BroNo,man,27,13-15h,2021-12-02_21h08.39.749,bachelor,2021.2.3,Win32,59.99880002,IwAR2wFWkhAttIX2us655vg4wXxSR46FU7qlyNXrNrDCe1QtEw46K5sxflouw,,,right,1.5875,0,6,6,21,1,ambulance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,BroNo,man,27,13-15h,2021-12-02_21h08.39.749,bachelor,2021.2.3,Win32,59.99880002,IwAR2wFWkhAttIX2us655vg4wXxSR46FU7qlyNXrNrDCe1QtEw46K5sxflouw,,,left,1.0226,0,7,7,9,1,hot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,BroNo,man,27,13-15h,2021-12-02_21h08.39.749,bachelor,2021.2.3,Win32,59.99880002,IwAR2wFWkhAttIX2us655vg4wXxSR46FU7qlyNXrNrDCe1QtEw46K5sxflouw,,,right,1.272,0,8,8,10,1,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
