key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,key_resp_9.rt,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,209.6427,space,21.0427,0,0,0,0,1,"
Please complete all tasks. It will take no more than 5-10 minutes.

Press any key to start the experiment",0,,woman,35,7-9h,2021-12-18_08h42.56.536,bachelor,2021.2.3,Win32,60.70908208,IwAR2y5zX-biLucKujY29B_pMPr-qJWH8yualuXXoON_tRCg637kR1zjPuUhw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,35,7-9h,2021-12-18_08h42.56.536,bachelor,2021.2.3,Win32,60.70908208,IwAR2y5zX-biLucKujY29B_pMPr-qJWH8yualuXXoON_tRCg637kR1zjPuUhw,space,43.6868,right,8.5053,0,0,0,23,1,fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,35,7-9h,2021-12-18_08h42.56.536,bachelor,2021.2.3,Win32,60.70908208,IwAR2y5zX-biLucKujY29B_pMPr-qJWH8yualuXXoON_tRCg637kR1zjPuUhw,,,right,6.3849,0,1,1,15,1,minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,35,7-9h,2021-12-18_08h42.56.536,bachelor,2021.2.3,Win32,60.70908208,IwAR2y5zX-biLucKujY29B_pMPr-qJWH8yualuXXoON_tRCg637kR1zjPuUhw,,,left,1.6617,0,2,2,5,1,cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,35,7-9h,2021-12-18_08h42.56.536,bachelor,2021.2.3,Win32,60.70908208,IwAR2y5zX-biLucKujY29B_pMPr-qJWH8yualuXXoON_tRCg637kR1zjPuUhw,,,left,4.0893,0,3,3,19,1,wonder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,35,7-9h,2021-12-18_08h42.56.536,bachelor,2021.2.3,Win32,60.70908208,IwAR2y5zX-biLucKujY29B_pMPr-qJWH8yualuXXoON_tRCg637kR1zjPuUhw,,,right,1.5312,0,4,4,20,1,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,35,7-9h,2021-12-18_08h42.56.536,bachelor,2021.2.3,Win32,60.70908208,IwAR2y5zX-biLucKujY29B_pMPr-qJWH8yualuXXoON_tRCg637kR1zjPuUhw,,,right,3.0698,0,5,5,1,1,ricochet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,35,7-9h,2021-12-18_08h42.56.536,bachelor,2021.2.3,Win32,60.70908208,IwAR2y5zX-biLucKujY29B_pMPr-qJWH8yualuXXoON_tRCg637kR1zjPuUhw,,,left,1.5813,0,6,6,10,1,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,35,7-9h,2021-12-18_08h42.56.536,bachelor,2021.2.3,Win32,60.70908208,IwAR2y5zX-biLucKujY29B_pMPr-qJWH8yualuXXoON_tRCg637kR1zjPuUhw,,,left,1.0721,0,7,7,17,1,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,35,7-9h,2021-12-18_08h42.56.536,bachelor,2021.2.3,Win32,60.70908208,IwAR2y5zX-biLucKujY29B_pMPr-qJWH8yualuXXoON_tRCg637kR1zjPuUhw,,,right,1.0671,0,8,8,4,1,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,35,7-9h,2021-12-18_08h42.56.536,bachelor,2021.2.3,Win32,60.70908208,IwAR2y5zX-biLucKujY29B_pMPr-qJWH8yualuXXoON_tRCg637kR1zjPuUhw,,,right,1.2902,0,9,9,18,1,screech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,35,7-9h,2021-12-18_08h42.56.536,bachelor,2021.2.3,Win32,60.70908208,IwAR2y5zX-biLucKujY29B_pMPr-qJWH8yualuXXoON_tRCg637kR1zjPuUhw,,,left,1.3343,0,10,10,25,1,soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,woman,35,7-9h,2021-12-18_08h42.56.536,bachelor,2021.2.3,Win32,60.70908208,IwAR2y5zX-biLucKujY29B_pMPr-qJWH8yualuXXoON_tRCg637kR1zjPuUhw,,,left,0.8555,0,11,11,12,1,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
