key_resp_17.keys,key_resp_17.rt,key_resp_13.keys,key_resp_13.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,Text,Condition,participant,Gender*,Age*,Estimated hours since last sleep*,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt,key_resp_11.keys,key_resp_11.rt,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,Word,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Stimuli,keyrespp.keys,keyrespp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Response,Congr,RightAns,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,key_resp_14.keys,key_resp_14.rt,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_7.ran,key_resp_5.keys,key_resp_5.rt,key_resp_12.keys,key_resp_12.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_6.keys,key_resp_6.rt,key_resp_15.keys,key_resp_15.rt,socialexc.thisRepN,socialexc.thisTrialN,socialexc.thisN,socialexc.thisIndex,socialexc.ran,Question,key_resp_7.keys,key_resp_7.rt,key_resp_16.keys,key_resp_16.rt
y,18.4307,space,5.7588,0,0,0,0,1,"Please complete all tasks. It will take no more than 5-10 minutes.

Thank you for contributing to science and deciding to offer your time. Your participation is highly valued. 

Press SPACE to start the experiment",1,Yomammajamma,man,26,16-18h,2021-12-03_21h15.37.122,bachelor,2021.2.3,Win32,59.97001499,IwAR17Lusyd9utx4WzBryBumfKoHJdoNPWIBJiLZ5sTws4ihTeQKsMUorjwHs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Yomammajamma,man,26,16-18h,2021-12-03_21h15.37.122,bachelor,2021.2.3,Win32,59.97001499,IwAR17Lusyd9utx4WzBryBumfKoHJdoNPWIBJiLZ5sTws4ihTeQKsMUorjwHs,space,18.3581,left,3.3436,0,0,0,2,1,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Yomammajamma,man,26,16-18h,2021-12-03_21h15.37.122,bachelor,2021.2.3,Win32,59.97001499,IwAR17Lusyd9utx4WzBryBumfKoHJdoNPWIBJiLZ5sTws4ihTeQKsMUorjwHs,,,right,2.1504,0,1,1,16,1,gunshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Yomammajamma,man,26,16-18h,2021-12-03_21h15.37.122,bachelor,2021.2.3,Win32,59.97001499,IwAR17Lusyd9utx4WzBryBumfKoHJdoNPWIBJiLZ5sTws4ihTeQKsMUorjwHs,,,right,2.3041,0,2,2,6,1,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Yomammajamma,man,26,16-18h,2021-12-03_21h15.37.122,bachelor,2021.2.3,Win32,59.97001499,IwAR17Lusyd9utx4WzBryBumfKoHJdoNPWIBJiLZ5sTws4ihTeQKsMUorjwHs,,,right,3.1367,0,3,3,8,1,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Yomammajamma,man,26,16-18h,2021-12-03_21h15.37.122,bachelor,2021.2.3,Win32,59.97001499,IwAR17Lusyd9utx4WzBryBumfKoHJdoNPWIBJiLZ5sTws4ihTeQKsMUorjwHs,,,left,2.6198,0,4,4,7,1,cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Yomammajamma,man,26,16-18h,2021-12-03_21h15.37.122,bachelor,2021.2.3,Win32,59.97001499,IwAR17Lusyd9utx4WzBryBumfKoHJdoNPWIBJiLZ5sTws4ihTeQKsMUorjwHs,,,left,3.1026,0,5,5,18,1,screech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Yomammajamma,man,26,16-18h,2021-12-03_21h15.37.122,bachelor,2021.2.3,Win32,59.97001499,IwAR17Lusyd9utx4WzBryBumfKoHJdoNPWIBJiLZ5sTws4ihTeQKsMUorjwHs,,,left,2.679,0,6,6,24,1,lip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Yomammajamma,man,26,16-18h,2021-12-03_21h15.37.122,bachelor,2021.2.3,Win32,59.97001499,IwAR17Lusyd9utx4WzBryBumfKoHJdoNPWIBJiLZ5sTws4ihTeQKsMUorjwHs,,,left,2.1709,0,7,7,27,1,applause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Yomammajamma,man,26,16-18h,2021-12-03_21h15.37.122,bachelor,2021.2.3,Win32,59.97001499,IwAR17Lusyd9utx4WzBryBumfKoHJdoNPWIBJiLZ5sTws4ihTeQKsMUorjwHs,,,left,2.1378,0,8,8,5,1,cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
